iter	Logloss
0	0.6008191269
1	0.5274362259
2	0.4526907375
3	0.4085036326
4	0.3754343786
5	0.3316900672
6	0.3110767175
7	0.2929223415
8	0.2769612127
9	0.2562048261
10	0.2412528702
11	0.2275560378
12	0.216292211
13	0.2098956507
14	0.1997358403
15	0.1950369553
16	0.1870090194
17	0.1830432842
18	0.1798688384
19	0.1768252011
20	0.172419771
21	0.1699627021
22	0.1677953048
23	0.1632635185
24	0.1607494262
25	0.1565898796
26	0.1546834746
27	0.1531063696
28	0.1508069743
29	0.1494386567
30	0.1481143337
31	0.1472349222
32	0.1463662167
33	0.1446665367
34	0.1427792492
35	0.1417722673
36	0.1408737936
37	0.1398352784
38	0.1384057144
39	0.1374515271
40	0.1367299683
41	0.1353222484
42	0.1349048592
43	0.1338940654
44	0.1331970072
45	0.1318335012
46	0.1308513913
47	0.1300711255
48	0.1295554384
49	0.1289899286
50	0.1287917338
51	0.127962689
52	0.1276971626
53	0.1270328528
54	0.1266853639
55	0.1255223167
56	0.1244472315
57	0.1242218511
58	0.1240351562
59	0.1237092867
60	0.1231549886
61	0.1214224117
62	0.1207243054
63	0.1202589124
64	0.1197360435
65	0.1193701219
66	0.1189207775
67	0.1177598808
68	0.1163333624
69	0.1159583557
70	0.1152618019
71	0.1147280312
72	0.1138232311
73	0.1134319822
74	0.1131073641
75	0.112738765
76	0.1123725316
77	0.1120570101
78	0.1116528393
79	0.1111068653
80	0.1106096656
81	0.1102448242
82	0.1098461431
83	0.1093952638
84	0.1091049462
85	0.1088459285
86	0.1084945736
87	0.1082181833
88	0.1075189954
89	0.1070711665
90	0.1068493622
91	0.1064948138
92	0.1060960098
93	0.1058755511
94	0.1054901062
95	0.1051511965
96	0.1048755995
97	0.1044615863
98	0.1041913443
99	0.1040912076
100	0.1037135714
101	0.1032035537
102	0.1030196161
103	0.1028306265
104	0.102691027
105	0.1024568745
106	0.1021652064
107	0.1018165834
108	0.1016499551
109	0.101492075
110	0.1011721964
