iter	Passed	Remaining
400	12137	18130
401	12164	18096
402	12191	18060
403	12212	18016
404	12234	17973
405	12255	17929
406	12277	17887
407	12302	17850
408	12323	17807
409	12342	17760
410	12365	17721
411	12390	17682
412	12417	17649
413	12444	17614
414	12477	17588
415	12500	17549
416	12523	17509
417	12548	17471
418	12572	17432
419	12599	17399
420	12630	17370
421	12652	17330
422	12677	17292
423	12700	17253
424	12720	17209
425	12741	17168
426	12760	17124
427	12782	17083
428	12805	17043
429	12831	17009
430	12854	16970
431	12878	16932
432	12900	16892
433	12921	16851
434	12943	16811
435	12963	16769
436	12985	16729
437	13008	16690
438	13032	16654
439	13057	16618
440	13080	16580
441	13105	16544
442	13126	16504
443	13146	16463
444	13169	16425
445	13191	16385
446	13211	16344
447	13234	16306
448	13266	16279
449	13349	16316
450	13408	16322
451	13440	16295
452	13464	16258
453	13487	16220
454	13508	16180
455	13527	16138
456	13557	16108
457	13604	16099
458	13652	16091
459	13706	16089
460	13745	16071
461	13792	16060
462	13840	16052
463	13900	16058
464	13944	16043
465	13990	16032
466	14034	16017
467	14077	16002
468	14133	16001
469	14182	15993
470	14222	15973
471	14274	15967
472	14316	15950
473	14378	15956
474	14422	15940
475	14468	15927
476	14520	15920
477	14565	15906
478	14707	15997
479	14746	15975
480	14790	15958
481	14839	15948
482	14885	15933
483	14936	15924
484	14983	15910
485	15035	15901
486	15081	15886
487	15128	15872
488	15182	15866
489	15232	15853
490	15274	15834
491	15330	15828
492	15387	15824
493	15464	15840
494	15518	15832
495	15564	15815
496	15611	15799
497	15678	15804
498	15729	15792
499	15773	15773
500	15823	15760
501	15877	15751
502	15924	15734
503	15971	15718
504	16029	15712
505	16082	15700
506	16126	15681
507	16172	15662
508	16227	15654
509	16316	15676
510	16378	15673
511	16424	15654
512	16477	15642
513	16530	15629
514	16572	15607
515	16624	15593
516	16668	15572
517	16724	15561
518	16779	15550
519	16824	15530
520	16870	15510
521	16917	15491
522	16987	15493
523	17025	15465
524	17070	15444
525	17114	15422
526	17158	15400
527	17205	15380
528	17267	15374
529	17306	15347
530	17353	15327
531	17419	15323
532	17502	15335
533	17556	15320
534	17607	15303
535	17654	15282
536	17698	15259
537	17749	15241
538	17798	15222
539	17844	15201
540	17889	15177
541	17933	15154
542	17993	15143
543	18046	15127
544	18093	15105
545	18134	15079
546	18176	15053
547	18237	15042
548	18286	15022
549	18329	14996
550	18370	14970
551	18418	14948
552	18460	14922
553	18520	14909
554	18589	14905
555	18660	14901
556	18726	14893
557	18783	14879
558	18834	14858
559	18880	14834
560	18934	14816
561	19002	14809
562	19064	14797
563	19109	14772
564	19164	14755
565	19224	14740
566	19271	14717
567	19318	14693
568	19363	14667
569	19408	14641
570	19452	14614
571	19496	14588
572	19546	14565
573	19581	14532
574	19613	14496
575	19765	14549
576	19927	14608
577	20054	14641
578	20109	14621
579	20187	14618
580	20247	14601
581	20310	14587
582	20362	14564
583	20436	14557
584	20499	14542
585	20549	14518
586	20603	14496
587	20654	14472
588	20717	14456
589	20762	14427
590	20804	14397
591	20874	14386
592	20952	14380
593	21007	14358
594	21053	14330
595	21121	14317
596	21165	14287
597	21203	14253
598	21250	14225
599	21291	14194
600	21339	14167
601	21396	14145
602	21440	14115
603	21475	14079
604	21523	14052
605	21574	14027
606	21623	13999
607	21671	13972
608	21710	13938
609	21758	13911
610	21821	13892
611	21859	13858
612	21894	13822
613	21937	13791
614	21979	13759
615	22016	13724
616	22077	13704
617	22123	13675
618	22166	13643
619	22204	13609
620	22250	13579
621	22308	13557
622	22368	13535
623	22409	13503
624	22450	13470
625	22502	13443
626	22561	13421
627	22602	13388
628	22644	13356
629	22695	13328
630	22753	13305
631	22791	13270
632	22835	13239
633	22879	13208
634	22926	13178
635	22973	13148
636	23044	13132
637	23089	13101
638	23132	13068
639	23172	13034
640	23233	13012
641	23277	12980
642	23323	12949
643	23368	12917
644	23420	12890
645	23470	12861
646	23520	12832
647	23563	12800
648	23610	12769
649	23652	12735
650	23704	12707
651	23749	12675
652	23792	12643
653	23839	12612
654	23885	12580
655	23932	12549
656	23986	12522
657	24048	12499
658	24106	12473
659	24169	12451
660	24223	12423
661	24272	12393
662	24316	12360
663	24358	12326
664	24414	12299
665	24464	12269
666	24503	12233
667	24541	12197
668	24590	12166
669	24636	12134
670	24697	12109
671	24735	12073
672	24783	12041
673	24822	12006
674	24870	11974
675	24909	11938
676	24957	11907
677	24999	11872
678	25057	11845
679	25112	11817
680	25157	11784
681	25203	11751
682	25245	11717
683	25303	11689
684	25345	11655
685	25395	11624
686	25435	11588
687	25482	11556
688	25528	11523
689	25584	11494
690	25628	11460
691	25670	11425
692	25727	11397
693	25782	11367
694	25830	11335
695	25876	11302
696	25936	11275
697	25976	11239
698	26036	11211
699	26078	11176
700	26130	11145
701	26169	11109
702	26211	11073
703	26256	11039
704	26305	11007
705	26357	10976
706	26407	10943
707	26446	10907
708	26505	10878
709	26544	10842
710	26589	10807
711	26630	10771
712	26668	10734
713	26710	10699
714	26764	10668
715	26806	10632
716	26853	10599
717	26897	10564
718	26972	10541
719	27061	10523
720	27105	10488
721	27147	10452
722	27201	10421
723	27254	10389
724	27301	10355
725	27350	10322
726	27394	10287
727	27457	10258
728	27510	10226
729	27566	10195
730	27629	10167
731	27680	10134
732	27743	10105
733	27791	10071
734	27840	10037
735	27881	10001
736	27942	9971
737	27989	9936
738	28036	9901
739	28087	9868
740	28150	9839
741	28199	9805
742	28242	9768
743	28285	9732
744	28350	9703
745	28397	9668
746	28442	9633
747	28485	9596
748	28531	9561
749	28566	9522
750	28624	9490
751	28668	9454
752	28706	9416
753	28753	9381
754	28791	9342
755	28846	9310
756	28900	9277
757	28962	9246
758	29031	9218
759	29093	9187
760	29136	9150
761	29180	9113
762	29219	9075
763	29265	9040
764	29313	9004
765	29369	8972
766	29412	8935
767	29452	8897
768	29497	8860
769	29554	8827
770	29598	8791
771	29644	8755
772	29697	8720
773	29748	8686
774	29809	8654
775	29861	8619
776	29910	8584
777	29948	8545
778	29995	8509
779	30055	8477
780	30103	8441
781	30148	8404
782	30192	8367
783	30241	8331
784	30310	8301
785	30370	8268
786	30425	8234
787	30474	8198
788	30527	8163
789	30586	8130
790	30639	8095
791	30685	8058
792	30747	8026
793	30798	7990
794	30876	7961
795	30966	7936
796	31021	7901
797	31062	7862
798	31092	7821
799	31121	7780
800	31151	7739
801	31185	7699
802	31216	7658
803	31242	7616
804	31266	7573
805	31293	7532
806	31321	7490
807	31349	7449
808	31373	7406
809	31395	7364
810	31426	7323
811	31451	7281
812	31474	7239
813	31495	7196
814	31519	7154
815	31537	7111
816	31558	7068
817	31578	7025
818	31599	6983
819	31627	6942
820	31652	6901
821	31678	6859
822	31704	6818
823	31732	6777
824	31755	6735
825	31776	6693
826	31801	6652
827	31831	6612
828	31857	6571
829	31882	6530
830	31906	6488
831	31929	6447
832	31954	6406
833	31982	6365
834	32005	6324
835	32034	6284
836	32064	6244
837	32088	6203
838	32113	6162
839	32135	6121
840	32165	6081
841	32188	6040
842	32218	6000
843	32249	5960
844	32272	5919
845	32297	5879
846	32320	5838
847	32344	5797
848	32369	5757
849	32396	5717
850	32419	5676
851	32447	5636
852	32480	5597
853	32508	5557
854	32537	5517
855	32567	5478
856	32599	5439
857	32628	5400
858	32673	5363
859	32711	5325
860	32742	5285
861	32773	5246
862	32802	5207
863	32838	5168
864	32870	5130
865	32918	5093
866	32974	5058
867	33006	5019
868	33039	4980
869	33072	4941
870	33101	4902
871	33126	4862
872	33165	4824
873	33190	4784
874	33222	4746
875	33255	4707
876	33290	4668
877	33319	4629
878	33354	4591
879	33381	4552
880	33406	4512
881	33437	4473
882	33468	4434
883	33490	4394
884	33515	4355
885	33538	4315
886	33564	4275
887	33596	4237
888	33623	4198
889	33646	4158
890	33667	4118
891	33696	4079
892	33721	4040
893	33742	4000
894	33762	3961
895	33791	3922
896	33817	3883
897	33842	3843
898	33864	3804
899	33887	3765
900	33910	3726
901	33932	3686
902	33964	3648
903	33993	3609
904	34029	3572
905	34056	3533
906	34090	3495
907	34125	3457
908	34157	3419
909	34188	3381
910	34215	3342
911	34250	3304
912	34292	3267
913	34318	3229
914	34351	3191
915	34378	3152
916	34404	3114
917	34435	3075
918	34471	3038
919	34506	3000
920	34535	2962
921	34564	2924
922	34589	2885
923	34620	2847
924	34653	2809
925	34684	2771
926	34714	2733
927	34752	2696
928	34779	2658
929	34813	2620
930	34898	2586
931	34957	2550
932	34984	2512
933	35010	2473
934	35040	2435
935	35067	2397
936	35092	2359
937	35118	2321
938	35145	2283
939	35172	2245
940	35194	2206
941	35218	2168
942	35244	2130
943	35270	2092
944	35294	2054
945	35324	2016
946	35358	1978
947	35389	1941
948	35415	1903
949	35439	1865
950	35468	1827
951	35500	1789
952	35525	1752
953	35554	1714
954	35634	1679
955	35674	1641
956	35702	1604
957	35732	1566
958	35756	1528
959	35786	1491
960	35810	1453
961	35832	1415
962	35862	1377
963	35915	1341
964	35946	1303
965	35972	1266
966	36000	1228
967	36027	1190
968	36048	1153
969	36071	1115
970	36100	1078
971	36126	1040
972	36150	1003
973	36172	965
974	36195	928
975	36223	890
976	36244	853
977	36265	815
978	36295	778
979	36324	741
980	36347	703
981	36371	666
982	36395	629
983	36423	592
984	36446	555
985	36471	517
986	36504	480
987	36528	443
988	36556	406
989	36580	369
990	36609	332
991	36635	295
992	36658	258
993	36690	221
994	36716	184
995	36741	147
996	36764	110
997	36787	73
998	36809	36
999	36835	0
